Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time
LEC,1.0,0 days 00:40:56.330000,,0 days 00:00:46.389000,
LEC,2.0,,0 days 00:00:26.854000,0 days 00:00:41.743000,
LEC,3.0,0 days 00:01:24.624000,0 days 00:00:24.007000,0 days 00:00:38.235000,0 days 00:00:22.382000
LEC,4.0,0 days 00:01:22.625000,0 days 00:00:21.892000,0 days 00:00:38.779000,0 days 00:00:21.954000
LEC,5.0,0 days 00:01:21.795000,0 days 00:00:21.314000,0 days 00:00:38.513000,0 days 00:00:21.968000
LEC,6.0,0 days 00:01:21.145000,0 days 00:00:21.568000,0 days 00:00:38.168000,0 days 00:00:21.409000
LEC,7.0,0 days 00:01:20.980000,0 days 00:00:21.370000,0 days 00:00:38.056000,0 days 00:00:21.554000
LEC,8.0,0 days 00:01:21.030000,0 days 00:00:21.250000,0 days 00:00:38.171000,0 days 00:00:21.609000
LEC,9.0,0 days 00:01:20.114000,0 days 00:00:21.092000,0 days 00:00:37.612000,0 days 00:00:21.410000
LEC,10.0,0 days 00:01:20.775000,0 days 00:00:21.036000,0 days 00:00:37.886000,0 days 00:00:21.853000
LEC,11.0,0 days 00:01:21.046000,0 days 00:00:21.279000,0 days 00:00:38.236000,0 days 00:00:21.531000
LEC,12.0,0 days 00:01:20.252000,0 days 00:00:20.949000,0 days 00:00:37.730000,0 days 00:00:21.573000
LEC,13.0,0 days 00:01:19.017000,0 days 00:00:20.818000,0 days 00:00:36.898000,0 days 00:00:21.301000
LEC,14.0,0 days 00:01:19.913000,0 days 00:00:20.847000,0 days 00:00:38.003000,0 days 00:00:21.063000
LEC,15.0,0 days 00:01:19.838000,0 days 00:00:20.763000,0 days 00:00:37.770000,0 days 00:00:21.305000
LEC,16.0,0 days 00:01:20.156000,0 days 00:00:21.139000,0 days 00:00:37.516000,0 days 00:00:21.501000
LEC,17.0,0 days 00:01:20.279000,0 days 00:00:20.925000,0 days 00:00:37.498000,0 days 00:00:21.856000
LEC,18.0,0 days 00:01:19.580000,0 days 00:00:20.612000,0 days 00:00:37.578000,0 days 00:00:21.390000
LEC,19.0,0 days 00:01:18.842000,0 days 00:00:20.806000,0 days 00:00:36.890000,0 days 00:00:21.146000
LEC,20.0,0 days 00:01:18.724000,0 days 00:00:20.573000,0 days 00:00:37.018000,0 days 00:00:21.133000
LEC,21.0,0 days 00:01:18.472000,0 days 00:00:20.609000,0 days 00:00:36.874000,0 days 00:00:20.989000
LEC,22.0,0 days 00:01:18.620000,0 days 00:00:20.591000,0 days 00:00:37.004000,0 days 00:00:21.025000
LEC,23.0,0 days 00:01:18.458000,0 days 00:00:20.638000,0 days 00:00:36.755000,0 days 00:00:21.065000
LEC,24.0,0 days 00:01:18.725000,0 days 00:00:20.436000,0 days 00:00:37.261000,0 days 00:00:21.028000
LEC,25.0,0 days 00:01:18.973000,0 days 00:00:20.408000,0 days 00:00:37.435000,0 days 00:00:21.130000
LEC,26.0,0 days 00:01:18.445000,0 days 00:00:20.305000,0 days 00:00:37.048000,0 days 00:00:21.092000
LEC,27.0,0 days 00:01:18.351000,0 days 00:00:20.507000,0 days 00:00:36.769000,0 days 00:00:21.075000
LEC,28.0,0 days 00:01:18.710000,0 days 00:00:20.535000,0 days 00:00:37.208000,0 days 00:00:20.967000
LEC,29.0,0 days 00:01:19.053000,0 days 00:00:20.429000,0 days 00:00:37.312000,0 days 00:00:21.312000
LEC,30.0,0 days 00:01:19.935000,0 days 00:00:21.091000,0 days 00:00:37.380000,0 days 00:00:21.464000
LEC,31.0,0 days 00:01:18.393000,0 days 00:00:20.706000,0 days 00:00:36.687000,0 days 00:00:21
LEC,32.0,0 days 00:01:19.125000,0 days 00:00:20.483000,0 days 00:00:37.216000,0 days 00:00:21.426000
LEC,33.0,0 days 00:01:18.494000,0 days 00:00:20.510000,0 days 00:00:36.916000,0 days 00:00:21.068000
LEC,34.0,0 days 00:01:19.319000,0 days 00:00:20.412000,0 days 00:00:37.589000,0 days 00:00:21.318000
LEC,35.0,0 days 00:01:18.530000,0 days 00:00:20.503000,0 days 00:00:36.672000,0 days 00:00:21.355000
LEC,36.0,0 days 00:01:18.689000,0 days 00:00:20.697000,0 days 00:00:36.919000,0 days 00:00:21.073000
LEC,37.0,0 days 00:01:18.925000,0 days 00:00:21.082000,0 days 00:00:36.570000,0 days 00:00:21.273000
LEC,38.0,0 days 00:01:18.528000,0 days 00:00:20.612000,0 days 00:00:36.704000,0 days 00:00:21.212000
LEC,39.0,0 days 00:01:18.181000,0 days 00:00:20.815000,0 days 00:00:36.297000,0 days 00:00:21.069000
LEC,40.0,0 days 00:01:18.733000,0 days 00:00:20.538000,0 days 00:00:37.054000,0 days 00:00:21.141000
LEC,41.0,0 days 00:01:18.694000,0 days 00:00:20.486000,0 days 00:00:36.988000,0 days 00:00:21.220000
LEC,42.0,0 days 00:01:19.277000,0 days 00:00:20.683000,0 days 00:00:37.359000,0 days 00:00:21.235000
LEC,43.0,0 days 00:01:17.865000,0 days 00:00:20.293000,0 days 00:00:36.710000,0 days 00:00:20.862000
LEC,44.0,0 days 00:01:18.276000,0 days 00:00:20.687000,0 days 00:00:36.752000,0 days 00:00:20.837000
LEC,45.0,0 days 00:01:18.541000,0 days 00:00:20.582000,0 days 00:00:36.789000,0 days 00:00:21.170000
LEC,46.0,0 days 00:01:18.567000,0 days 00:00:20.600000,0 days 00:00:37.066000,0 days 00:00:20.901000
LEC,47.0,0 days 00:01:19.185000,0 days 00:00:20.506000,0 days 00:00:37.404000,0 days 00:00:21.275000
LEC,48.0,0 days 00:01:17.941000,0 days 00:00:20.379000,0 days 00:00:36.484000,0 days 00:00:21.078000
LEC,49.0,0 days 00:01:18.506000,0 days 00:00:20.674000,0 days 00:00:36.889000,0 days 00:00:20.943000
LEC,50.0,0 days 00:01:18.185000,0 days 00:00:20.293000,0 days 00:00:36.878000,0 days 00:00:21.014000
LEC,51.0,0 days 00:01:17.790000,0 days 00:00:20.269000,0 days 00:00:36.519000,0 days 00:00:21.002000
LEC,52.0,0 days 00:01:18.311000,0 days 00:00:20.381000,0 days 00:00:36.839000,0 days 00:00:21.091000
